工作地區,公司規模,產業類別,職務類別,需求技能數量,學歷要求,薪資區間
127,25,135,5,0.30000000000000004,4,0
164,4,19,5,0.0,3,1
124,20,46,5,0.0,3,0
36,8000,76,5,0.0,4,0
111,24,78,5,0.30000000000000004,2,1
124,34,78,5,0.0,2,1
40,13,114,5,0.8,4,1
119,100,46,5,0.2,4,1
109,20,14,5,0.5,3,0
107,1000,121,5,0.0,4,2
124,0,14,5,0.2,3,1
32,70,172,5,0.0,5,0
119,40,46,5,0.6000000000000001,4,1
40,13,114,5,0.8,4,1
127,250,127,5,0.1,2,0
124,110,19,5,0.0,4,1
135,20,25,5,0.0,4,1
14,8,172,5,0.0,3,0
59,25,151,5,0.2,4,1
136,189,22,5,0.30000000000000004,4,1
10,45,108,5,0.4,4,0
26,40,39,5,0.6000000000000001,5,0
127,138,130,5,0.1,4,1
24,40,66,5,0.0,5,1
153,0,166,5,0.4,4,0
135,40,141,5,0.8,5,2
33,0,78,5,0.6000000000000001,4,1
104,0,92,5,0.0,3,0
169,40,104,5,0.0,4,0
26,0,120,5,0.4,3,0
124,0,39,5,0.4,5,0
29,3200,160,5,0.0,4,1
36,8000,76,5,0.0,4,0
109,20,14,5,0.5,3,0
11,3600,118,5,0.1,4,0
161,60,114,5,0.1,3,2
26,100,1,5,0.30000000000000004,5,1
155,0,108,5,0.30000000000000004,4,1
77,0,78,5,0.4,2,0
10,0,173,5,0.7000000000000001,5,0
119,40,46,5,0.4,4,1
32,110,76,5,0.6000000000000001,3,1
129,15,75,5,0.1,3,2
108,250,146,5,0.0,4,1
138,260,78,5,0.6000000000000001,5,2
102,0,37,5,0.0,4,1
111,30,39,5,0.0,3,0
117,40,39,5,0.30000000000000004,3,0
138,120,114,5,0.30000000000000004,5,0
62,0,26,5,0.30000000000000004,5,2
102,20,116,5,0.0,4,1
10,100,145,5,0.30000000000000004,4,1
103,110,171,5,0.0,5,0
50,0,78,5,0.0,5,0
26,75,106,5,0.30000000000000004,5,1
102,55,127,5,0.0,4,1
32,0,76,5,0.6000000000000001,4,0
47,60,42,5,1.0,5,2
30,20,76,5,0.0,3,0
31,0,140,5,0.0,3,1
108,120,164,5,0.30000000000000004,4,1
114,3500,46,5,0.0,4,1
33,1000,34,5,0.1,5,1
10,21,21,5,0.0,5,1
58,12,130,5,0.30000000000000004,5,2
141,180,19,5,0.30000000000000004,3,1
127,170,38,5,0.2,4,0
174,15,42,5,0.1,5,2
33,30,172,5,0.0,5,1
26,120,78,5,0.0,3,1
15,69,25,5,0.4,3,1
