職務類別,工作地區,學歷要求,工作經驗,公司規模,產業類別,上班時間,需求技能數量,薪資,職缺名稱,公司名稱
工程師,桃園市中壢區,大學,不拘,25,藥品／化妝品及清潔用品零售業,日班,3,40000,資訊-內部系統維運工程師,汶紳美業有限公司
工程師,高雄市楠梓區,專科,不拘,4,其他半導體相關業,日班,0,46000,測試工程師,鴻柏旺科技有限公司
工程師,新竹縣竹北市,專科,不拘,20,半導體製造業,日班,0,33000,助理工程師,晟峻科技有限公司
工程師,台中市北屯區,大學,不拘,65,網際網路相關業,日班,6,805000,後端工程師,帝緯系統整合股份有限公司
工程師,台北市士林區,大學,不拘,8000,建築及工程技術服務業,夜班,0,40000,工程發包工程師 (20260319BDF00001),中鼎集團_中鼎工程股份有限公司
工程師,新北市樹林區,高中職,不拘,24,建築工程業,夜班,3,47000,營造工程師/營建工程師/工程助理,敦美建設機構_永騰營造有限公司
工程師,新竹縣竹北市,高中職,不拘,34,建築工程業,日班,0,55000,營建工程師,葳翔營造股份有限公司
工程師,台北市松山區,大學,不拘,13,空調水機電工程業,日班,8,46500,電機/機械應用工程師,誥鑫企業有限公司
工程師,新竹市,大學,不拘,100,半導體製造業,日班,2,44000,繪圖工程師,辛巳科技股份有限公司
工程師,新北市板橋區,專科,不拘,20,光電產業,日班,5,35000,工程師助理,昌陽科技有限公司
工程師,新北市新店區,大學,不拘,1000,網際網路相關業,夜班,0,65000,AI 原生資料工程師,104人力銀行_一零四資訊科技股份有限公司
工程師,新竹縣竹北市,專科,不拘,0,光電產業,日班,2,41500,品保工程師,聯享光電股份有限公司
工程師,台北市信義區,碩士,不拘,70,電腦系統整合服務業,日班,0,37000,高階工程師,葛氏兄弟企業有限公司
工程師,新竹市,大學,不拘,40,半導體製造業,日班,6,50000,工程繪圖工程師,野村微科學工程股份有限公司
工程師,台北市松山區,大學,不拘,13,空調水機電工程業,日班,8,46500,電機應用工程師,誥鑫企業有限公司
工程師,桃園市中壢區,高中職,不拘,250,自動控制相關業,夜班,1,37500,【研發部】助理工程師,易發精機股份有限公司
工程師,新竹縣竹北市,大學,不拘,110,其他半導體相關業,日班,0,44000,日商澄明科技CT-新竹-客服工程師,日商澄明科技有限公司台灣分公司
工程師,桃園市蘆竹區,大學,不拘,20,其他機械製造修配業,日班,0,47500,維修工程師,開德麗企業有限公司
工程師,台中市大里區,專科,不拘,8,電腦系統整合服務業,日班,0,38500,資訊工程師,士欣資訊管理股份有限公司
工程師,台南市永康區,大學,不拘,25,金屬加工用機械製造修配業,日班,2,52500,CNC機台工程師,寶濟工業股份有限公司
工程師,桃園市觀音區,大學,不拘,189,其他專業／科學及技術業,日班,3,45984,115-02電器測試工程師,財團法人台灣大電力研究試驗中心
工程師,台中市南屯區,大學,不拘,45,環境衛生及污染防治服務業,日班,4,40000,監造工程師,仲禹工程顧問股份有限公司
工程師,台中市西屯區,碩士,不拘,40,其他電子零組件相關業,日班,6,37500,助理工程師,台灣路德電子有限公司
工程師,桃園市中壢區,大學,不拘,138,航空器及其零件製造修配業,日班,1,45000,研發助理工程師,六俊電機儀具股份有限公司
工程師,台中市神岡區,碩士,不拘,40,專用生產機械製造修配業,日班,0,50000,PLC電控工程師,永烜機械科技有限公司
工程師,高雄市仁武區,大學,不拘,0,電力機械器材製造修配業,日班,4,35000,助理工程師,弓海企業有限公司
工程師,桃園市蘆竹區,碩士,不拘,40,資料儲存媒體製造及複製業,日班,8,70000,軟體專案工程師,吉翔樂_旻新科技股份有限公司
工程師,台北市內湖區,大學,不拘,0,建築工程業,日班,6,55000,土木工程師,地偉達工程股份有限公司
工程師,新北市五股區,專科,不拘,0,機械器具批發業,日班,0,30000,助理工程師,美商開文熱工股份有限公司台灣分公司
工程師,高雄市苓雅區,大學,不拘,40,海運,日班,0,36000,助理工程師,協榮航業股份有限公司
工程師,台中市西屯區,專科,不拘,0,綜合商品批發代理業,日班,4,40000,助理工程師,力聚科技股份有限公司
工程師,新竹縣竹北市,碩士,不拘,0,其他電子零組件相關業,日班,4,36500,助理工程師,睦和科技股份有限公司
工程師,台中市龍井區,大學,不拘,3200,鋼鐵基本工業,日班,0,45600,工業工程師,中龍鋼鐵股份有限公司
工程師,台北市士林區,大學,不拘,8000,建築及工程技術服務業,夜班,0,40000,空調設計工程師 (20260108BD400007),中鼎集團_中鼎工程股份有限公司
工程師,新北市板橋區,專科,不拘,20,光電產業,日班,5,40000,設備工程師,昌陽科技有限公司
工程師,台中市后里區,大學,不拘,3600,紙相關製造業,日班,1,39000,[后里廠] 電控助理工程師,正隆股份有限公司
工程師,高雄市左營區,專科,不拘,60,空調水機電工程業,日班,1,57000,服務部_工程師/助理工程師(南部),舜德科技股份有限公司
工程師,台中市西屯區,碩士,不拘,100,不動產經營業,日班,3,45000,工程師,富宇建設股份有限公司
工程師,高雄市前鎮區,大學,不拘,0,環境衛生及污染防治服務業,日班,3,43000,工程師,台和工程顧問股份有限公司
工程師,宜蘭縣礁溪鄉,高中職,不拘,0,建築工程業,日班,4,40000,品管工程師,欽鼎工程股份有限公司
工程師,台中市南屯區,碩士,不拘,0,電腦軟體服務業,日班,7,32750,工程師助理,喜雲科技有限公司
工程師,新竹市,大學,不拘,40,半導體製造業,日班,4,47500,工安工程師,野村微科學工程股份有限公司
工程師,台北市信義區,專科,不拘,110,建築及工程技術服務業,日班,6,55000,機電工程師,富邦建設股份有限公司
工程師,桃園市大園區,專科,不拘,15,建物裝修及裝潢業,日班,1,65000,機電監造工程師,國朋工程有限公司
工程師,新北市新莊區,大學,不拘,250,通訊機械器材相關業,日班,0,40500,機構設計工程師,盟訊實業股份有限公司
工程師,桃園市龜山區,碩士,不拘,260,建築工程業,日班,6,61500,工地副主任(桃園、台北),立穩營造股份有限公司
工程師,新北市三重區,大學,不拘,0,其他電信及通訊相關業,日班,0,46000,網路工程師,智匯亞洲科技股份有限公司
工程師,新加坡,專科,不拘,0,其他半導體相關業,日班,14,112500,軟體工程師-海外,啟士達科技股份有限公司
工程師,新北市樹林區,專科,不拘,30,其他電子零組件相關業,日班,0,35000,研發助理工程師,承達電子股份有限公司
工程師,新北市蘆洲區,專科,不拘,40,其他電子零組件相關業,日班,3,33500,生產助理工程師,宸言科技有限公司
工程師,桃園市龜山區,碩士,不拘,120,空調水機電工程業,日班,3,40000,【桃園】助理工程師,方俊工程有限公司
工程師,嘉義市,碩士,不拘,0,其他營造業,日班,3,65000,營造工程師,日盛營造股份有限公司
工程師,新北市三重區,大學,不拘,20,精密儀器相關製造業,日班,0,45000,設備工程師,利友科技股份有限公司
工程師,台中市南屯區,大學,不拘,100,通用機械設備製造修配業,日班,3,43000,機械設計工程師,霄特國際股份有限公司
工程師,新北市中和區,碩士,不拘,110,電腦及其週邊設備製造業,日班,0,40000,客服工程師,洋銘科技股份有限公司
工程師,台南市安定區,碩士,不拘,0,建築工程業,日班,0,40000,工程師,氏展工程有限公司
工程師,台中市西屯區,碩士,不拘,75,照明設備製造業,夜班,3,50000,機構工程師,日機股份有限公司
工程師,新北市三重區,大學,不拘,55,自動控制相關業,日班,0,45000,助理工程師/工程師-工程部,中寶科技股份有限公司
工程師,台北市信義區,大學,不拘,0,建築及工程技術服務業,日班,6,40000,設計工程師 Design Engineer,派利台灣有限公司
工程師,台南市善化區,碩士,不拘,60,其它軟體及網路相關業,日班,10,65000,ERP 工程師,亞達科技股份有限公司
工程師,新北市三重區,專科,不拘,36,自動控制相關業,日班,1,663400,設備維護工程師,制宜電測股份有限公司
工程師,台北市中山區,專科,不拘,20,建築及工程技術服務業,日班,0,35000,助理工程師,杰林工程科技股份有限公司
工程師,台北市中正區,專科,不拘,0,貨運承攬業,日班,0,45000,機械配管工程師,山水國際通運股份有限公司
工程師,新北市新莊區,大學,不拘,120,電信相關業,日班,3,46500,系統工程師,台灣智慧光網股份有限公司
工程師,新北市泰山區,大學,不拘,3500,半導體製造業,夜班,0,47750,機電工程師,南亞科技股份有限公司
工程師,台北市內湖區,大學,不拘,90,電腦系統整合服務業,日班,12,70000,資深系統工程師,天鉞科技股份有限公司
工程師,台北市松山區,大學,不拘,0,數位內容產業,日班,1,520000,助理工程師,中信安科技有限公司
工程師,台北市內湖區,碩士,不拘,1000,其他金屬相關製造業,日班,1,50000,機構工程師,台灣多耐福股份有限公司
工程師,台中市南屯區,碩士,不拘,21,其他商品批發業,日班,0,52500,品管工程師,美錡國際股份有限公司
工程師,台北市南港區,碩士,不拘,60,電腦軟體服務業,日班,0,900000,測試工程師（QA Engineer）,晧飛思科技股份有限公司
工程師,台南市歸仁區,碩士,不拘,12,航空器及其零件製造修配業,日班,3,60000,機械工程師 Mechanical Engineer,瑞鑑航太科技股份有限公司
工程師,苗栗縣竹南鎮,專科,不拘,180,其他半導體相關業,日班,3,50000,竹南_駐點設備客服工程師,鴻騏新技股份有限公司
